,adaptation,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest
0,0.18927075756175804,43.5749999999999,-21.1181263448657,0.0734756124038056,1.078705,6.05364833333333,1.02549666666667,-43.9375,-42.2708346048991,-50.0520839691162,319.582336,0.0260550000000002,1.07579,6.049495,1.0234625,31.25,21.2812506357829,37.5208339691162,255.625009536743,0.0045739570632576,1.571454208,1.084025,6.06801333333333,1.592888,-41.59375,-47.3229204813639,-71.1,30.3393788501093,110.0,125.708333333333,520.0,1.075195,6.048385,1.02300083333333,-29.1875,-26.34375,-40.1718769073486,1.08913,6.06801333333333,1.07799333333333,-46.46875,-47.3229204813639,-60.0885423024495,2.17762026805481,1.68650979844245,2.66364256136394,-86.53125,-58.8650207519531
1,0.307736653983629,86.73,6.26437486953013,0.117904755263878,1.072875,3.60347,1.02833,-38.6875,-45.453125,-52.0000007629395,138.224288,0.0223200000000001,1.069085,3.5997075,1.023469,29.5,35.0937519073486,30.39375,151.093780994415,0.034500028938055,3.387150336,1.084025,3.639295,1.592888,-41.59375,-50.6875019073486,-71.1,15.0420671303764,249.999984741211,64.4375,840.0,1.068335,3.5990475,1.022883,-30.8437519073486,-34.546875,-20.9625003814697,1.084025,3.639295,1.592888,-41.59375,-50.6875019073486,-71.1,3.39868072602068,3.60647804812722,2.69935354310103,-87.53125,-69.4515762329102
2,0.18927075756175804,46.435,4.06749937550965,0.068452375994788,1.08025,6.163475,1.025503,-50.34375,-48.9375,-55.5375007629395,178.274368,0.021185,1.076585,6.1594875,1.023424,39.0625,44.484375,41.8812507629395,118.124924600124,0.0234757419675589,2.2280576,1.084025,6.19151,1.592888,-41.59375,-54.578125,-71.1,13.9428447896854,250.0,128.5,590.0,1.076105,6.1590225,1.023065,-35.34375,-35.890625,-46.3250007629395,1.084885,6.19151,1.262307,-52.125,-54.578125,-71.575,4.06768011019933,4.12224837279796,4.10449424160352,-84.78125,-70.9127655029297
3,0.189721421709896,52.0499999999999,9.76062546759193,0.0738636332898089,1.08698,4.46684,1.026288,-49.6875,-49.6875,-58.6375022888184,215.3216,0.0373750000000002,1.082855,4.4618275,1.023566,17.09375,24.328125,28.2000007629395,112.499997019768,0.0204117652028799,1.41368576,1.084025,4.4838575,1.592888,-41.59375,-54.671875,-71.1,16.0474040197002,210.0,86.0,590.0,1.08205,4.4612175,1.023098,-32.6875,-34.296875,-48.2812522888184,1.090075,4.4838575,1.326481,-50.8125,-54.671875,-67.1187515258789,2.85442566063869,3.23967810191819,3.51727311604458,-79.25,-66.9378051757812
4,0.18927075756175804,41.485,16.5418737735346,0.0551470573880676,1.073525,6.79820833333333,1.02525125,-48.03125,-50.0833333333333,-50.1953153610229,159.969024,0.0244600000000001,1.071365,6.79599,1.02347625,36.5,37.6562512715658,43.8828125,124.375075101852,0.0180059671401978,2.753473024,1.084025,6.81146833333333,1.592888,-41.59375,-55.2708346048991,-71.1,12.6634987683973,230.0,144.416666666667,910.0,1.07092,6.79551166666667,1.02309625,-35.875,-32.677085240682,-51.4531259536743,2.01908,6.81146833333333,1.60063,-50.21875,-55.2708346048991,-82.3359394073486,2.95855292865785,2.64643035369773,3.83915034603926,-96.28125,-81.8460159301758
5,0.18927075756175804,26.8649999999999,21.7075003805522,0.057565020287626,1.058955,14.1738366666667,1.02513875,-53.4687538146973,-47.8333333333333,-55.1328153610229,207.841568,0.0195350000000001,1.057,14.1707316666667,1.02338875,24.2187519073486,16.5520836512248,31.7734384536743,99.9399051070213,0.0042560053989291,2.37781376,1.084025,13.814128666666672,1.592888,-41.59375,-47.6885444641113,-71.1,11.6758039199953,360.0,328.75,1060.0,1.0565,14.1699366666667,1.023,-38.4375,-31.0208358764648,-53.0468769073486,1.05911,14.1803166666667,1.6546175,-53.6250038146973,-50.6979204813639,-84.7187519073486,2.83148997145048,1.53825935788929,3.41168221011192,-96.1562576293945,-85.4491729736328
6,0.18927075756175804,47.555,18.6174981681164,0.0405063291139241,1.080785,4.44117333333333,1.024957,-47.6562538146973,-46.8854192097982,-52.2437522888184,198.950144,0.0343900000000001,1.078795,4.439255,1.023349,29.8437519073486,31.1979173024495,30.1375015258789,234.687611460686,0.0607179217040539,2.129826816,1.084025,4.46532,1.592888,-41.59375,-54.9479204813639,-71.1,23.6110219253921,150.0,85.5,889.999938964844,1.078335,4.43877,1.022934,-32.84375,-31.614585240682,-42.2312522888184,1.098805,4.46532,1.620229,-51.0312538146973,-54.9479204813639,-77.6437515258789,2.2906380047921,2.08626728986747,2.4388730821729,-98.3750076293945,-76.8264770507812
7,0.18927075756175804,61.77599999999997,3.90562495539148,-7.72008057733245e-19,1.0424,10.420175,1.0249825,-48.34375,-47.6562525431315,-51.8177115122477,114.172056,0.0136000000000001,1.040985,10.4187666666667,1.0233625,34.78125,33.239585240682,36.9166692097982,89.5832106471062,0.151859939098358,2.146193664,1.084025,10.4336416666667,1.592888,-41.59375,-53.2395871480306,-71.1,9.72155964069954,290.0,234.958323160807,850.0,1.04053,10.4182416666667,1.02294916666667,-40.53125,-32.1875025431315,-49.6197948455811,1.049805,10.4336416666667,1.43596416666667,-49.1875038146973,-53.2395871480306,-77.4166717529297,2.47128351691856,1.85751777084939,2.7292945654191,-87.75,-76.849479675293
8,0.18927075756175804,45.056999999999995,-19.3162499884103,0.0158742935628127,1.08246,7.79269833333333,1.025134,-47.84375,-48.0104179382324,-49.9187522888184,149.6124,0.0716750000000002,1.0806,7.79090666666667,1.023422,39.78125,43.4583333333333,41.3187507629395,107.968866825104,0.0309457462280989,2.187434496,1.084025,7.80942,1.592888,-41.59375,-54.0000025431315,-71.1,11.459694659171,250.0,169.25,1090.0,1.08017,7.7905,1.02304,-38.5625038146973,-33.1562525431315,-50.3937522888184,1.806795,7.80942,1.457823,-53.0937538146973,-54.0000025431315,-83.0875030517578,3.12721730363885,3.08969518379955,3.54016102277228,-94.03125,-82.7531585693359
9,0.18927075756175804,60.946999999999946,-50.9174993834627,0.0408005120978938,1.054105,4.01089,1.024726,-49.375,-47.5156269073486,-51.6375022888184,232.328992,0.0226550000000001,1.052525,4.0091875,1.023196,41.3437538146973,46.0781269073486,44.2250015258789,115.625187754631,0.0266086850315332,1.216873344,1.084025,4.0268125,1.592888,-41.59375,-51.9531288146973,-71.1,11.4966748722608,250.0,74.6875,700.0,1.05213,4.008765,1.022856,-39.46875,-35.2343769073486,-47.1062515258789,1.834695,4.0268125,1.390964,-50.1250038146973,-51.9531288146973,-72.5500030517578,3.38212392437017,3.15785237411167,3.74176643890432,-85.2187576293945,-70.921012878418
